,id,name
0,0, Холодное оружие: луки спортивные массовые 
1,1, Холодное оружие: сабли 
2,2, Холодное оружие: шпаги
3,3,"Автоматические устройства управления бытовыми электрическими приборами, работающие автономно"
4,4,Аккумуляторы и аккумуляторные батареи кислотные
5,5,Аккумуляторы и аккумуляторные батареи кислотные закрытые (герметизированные)
6,6,Аккумуляторы и аккумуляторные батареи кислотные открытые (негерметичные) 
7,7,Аккумуляторы и аккумуляторные батареи никель-металлгидридной и литиевой систем
8,8,Аккумуляторы и аккумуляторные батареи щелочные
9,9,Аккумуляторы и аккумуляторные батареи щелочные никель-железные
10,10,Аккумуляторы и аккумуляторные батареи щелочные никель-кадмиевые закрытые (негерметичные)
11,11,Аккумуляторы щелочные никель-кадмиевые герметичные дисковые
12,12,Аккумуляторы щелочные никель-кадмиевые герметичные призматические
13,13,Аккумуляторы щелочные никель-кадмиевые герметичные цилиндрические
14,14,Аллергены (включая аллергены для ветеринарии)
15,15,"Аминокислоты, гидролизаты белков и ферменты для ветеринарии"
16,16,Антигены и фаги диагностические ветеринарные
17,17,Аппаратура высоковольтная электрическая
18,18,"Аппаратура, специально спроектированная для электровозов, тепловозов и газотурбовозов"
19,19,Аппараты вакуумно-нагнетательные и аппараты для вливания и ирригации
20,20,"Аппараты водолечебные и бальнеологические, механотерапевтические"
21,21,Аппараты для гемодиализа
22,22,Аппараты и устройства для замещения функций органов и систем организма:
23,23,"Аппараты ингаляционного наркоза, вентиляции легких, аэрозольтерапии, компенсации и лечения кислородной недостаточности"
24,24,Аппараты рентгеновские медицинские диагностические:
25,25,Аппараты слуховые реабилитационные
26,26,"Аппараты электрические тяговые для электровозов и электропоездов: реле электромагнитные, дифференциальные, боксования"
27,27,Бактериофаги (включая бактериофаги для ветеринарии)
28,28,Барокамеры и устройства для лечения повышенным и пониженным давлением
29,29,Батареи аккумуляторные свинцово-кислотные стартерные (кроме используемых для колесных транспортных средств)
30,30,Батареи аккумуляторные свинцовые нестартерные для мотоциклов и мотороллеров
31,31,Башмаки тормозных колодок подвижного состава магистральных железных дорог
32,32,Белила цинковые для розничной торговли (упаковка до 1 кг)
33,33,Белково-витаминно-минеральные и амидо-витаминно-минеральные концентраты
34,34,"Блоки оконные и балконные дверные деревянные, деревоалюминиевые (кроме блоков оконных для зданий промышленных, переплетов для животноводческих и птицеводческих зданий)"
35,35,Блоки оконные и балконные дверные из алюминиевых сплавов
36,36,Блоки оконные и балконные дверные из полимерных материалов
37,37,Блочно-модульные тяговые подстанции систем электроснабжения электрифицированных железных дорог
38,38,Брикеты и гранулы кормовые
39,39,Бритвы механические
40,40,"Брусья мостовые деревянные железных дорог широкой колеи, пропитанные защитными средствами"
41,41,"Вата и изделия ватные (из хлопковых, химических и шерстяных волокон)"
42,42,"Велошины, велопокрышки, велокамеры и велоизделия"
43,43,Вентильные разрядники и ограничители перенапряжений для электроподвижного состава и устройств электроснабжения железных дорог
44,44,Витамин A (ретинола ацетат) микрогранулированный кормовой
45,45,Витамин B12 кормовой
46,46,Витамин E (альфа-токоферола ацетат) микрогранулированный кормовой
47,47,"Витамины синтетические водорастворимые и жирорастворимые для ветеринарии, препараты витаминные для ветеринарии"
48,48,Вспомогательные электрические машины для подвижного состава железных дорог
49,49,Выключатели автоматические быстродействующие для подвижного состава железных дорог
50,50,Выключатели силовые
51,51,Газы углеводородные сжиженные (кроме газов углеводородных сжиженных топливных для коммунально-бытового потребления и газов углеводородных сжиженных топливных для автомобильного транспорта)
52,52,Гамма- и иммуноглобулины гетерогенные
53,53,"Генераторы сигналов диагностические, аудиометры"
54,54,Грелки резиновые (кроме изделий для ухода за детьми и подростками)
55,55,Грунтовки антикоррозионные
56,56,Дефибрилляторы и дефибрилляторы-мониторы
57,57,"Диагностикумы, антигены, тест-системы, применяемые в медицине, препараты диагностические и среды питательные для ветеринарии"
58,58,Дрожжи кормовые
59,59,Дрожжи кормовые - паприн
60,60,Жир ветеринарный из рыбы и морских млекопитающих
61,61,Заготовки клееные
62,62,Зажигалки (кроме питаемых от сети)
63,63,Зубы искусственные и коронки
64,64,Изделия абразивные
65,65,Изделия для внутреннего протезирования
66,66,Изделия из бумаги бытового и санитарно-гигиенического назначения: 
67,67,Изделия из бумаги медицинского назначения
68,68,Изделия из латексов и клеев
69,69,"Изделия из фарфора, фаянса, полуфарфора и майолики (кроме медицинского, санитарного фаянса и химико-лабораторной посуды)"
70,70,Изделия культурно-бытового назначения и хозяйственного обихода
71,71,Изделия культурно-бытового назначения и хозяйственного обихода из пластмасс
72,72,Изделия медицинские
73,73,"Изделия медицинские из латекса, медицинские клеи "
74,74,Изделия медицинские из синтетической пряжи и нитей
75,75,"Изделия медицинские из стекла: бутылки стеклянные для крови, кровезаменителей, трансфузионных и инфузионных препаратов"
76,76,Изделия медицинские из хлопчатобумажной пряжи
77,77,Изделия медицинские эластичные фиксирующие и компрессионные
78,78,"Изделия медицинские, санитарно-гигиенические и предметы ухода за больными формовые"
79,79,Изделия протезно-ортопедические
80,80,Изделия протезно-ортопедические:
81,81,Изделия столярные
82,82,Изделия травматологические
83,83,"Изделия травматологические, устройства для фиксации бедренных костей, имплантаты для остеосинтеза"
84,84,Изделия фрикционные
85,85,"Изделия фрикционные из ретинакса (кроме колодок тормозных и накладок тормозных, предназначенных для колесных транспортных средств)"
86,86,"Изделия фрикционные тормозные (кроме колодок тормозных и накладок тормозных, предназначенных для колесных транспортных средств)"
87,87,Изделия хозяйственного обихода: галантерейные изделия из пленочных материалов (кроме изделий для детей и подростков)
88,88,Изделия хозяйственного обихода: изделия санитарно-гигиенического назначения (кроме изделий для ухода за детьми)
89,89,Изделия хозяйственного обихода: кухонные принадлежности
90,90,Изделия хозяйственного обихода: предметы личной гигиены (кроме изделий для ухода за детьми) и изделия для их хранения
91,91,"Изделия художественно-декоративные, подарочные и сувенирные керамические, применяемые для пищевых продуктов (вазы для пищевых продуктов, наборы для напитков, чайные, детские, свадебные)"
92,92,Изделия щетинно-щеточные
93,93,"Измерительные установки, комплексы, сигнализаторы, регистраторы, мониторы медицинские"
94,94,"Инструменты вспомогательные, принадлежности и приспособления разные, металлические шурупы для костей"
95,95,Инструменты выкусывающие
96,96,"Инструменты для ветеринарии, инструменты вспомогательные, принадлежности и приспособления разные"
97,97,"Инструменты зондирующие, бужирующие"
98,98,Инструменты колющие
99,99,"Инструменты колющие, иглы хирургические и атравматические"
100,100,Инструменты механизированные
101,101,"Инструменты механизированные, инструменты сшивающие"
102,102,Инструменты многолезвийные с вращением вокруг собственной оси
103,103,Инструменты многоповерхностного воздействия (зажимные)
104,104,"Инструменты многоповерхностного воздействия (зажимные), зажимы медицинские, пинцеты медицинские, держатели"
105,105,Инструменты однолезвийные
106,106,Инструменты оттесняющие
107,107,Инструменты режущие и ударные с острой (режущей) кромкой
108,108,Источники рентгеновского излучения
109,109,Кабели силовые для нестационарной прокладки на напряжение свыше 1 кВ
110,110,Кабели силовые для стационарной прокладки на напряжение свыше 1 кВ
111,111,Кабели силовые с пластмассовой и бумажной изоляцией для стационарной прокладки на напряжение свыше 1 кВ (до 35 кВ включительно)
112,112,Кальция фосфат кормовой
113,113,Камеры сборные одностороннего обслуживания
114,114,Картон фильтровальный для пищевых жидкостей
115,115,Кассеты к аппаратам для безопасных бритв
116,116,Кассеты рентгеновские
117,117,Клеенка подкладная резино-тканевая (кроме клеенки для детей и подростков)
118,118,Комбикорм-концентрат гранулированный для племенных кобыл
119,119,Комбикорма
120,120,Комбикорма гранулированные
121,121,Комбикорма для дичи
122,122,Комбикорма для контрольного откорма свиней
123,123,Комбикорма для прудовых карповых рыб
124,124,"Комбикорма для пушных зверей, кроликов и нутрий"
125,125,Комбикорма и добавки белково-витаминные для непродуктивных животных
126,126,Комбикорма и премиксы 
127,127,Комбикорма полнорационные гранулированные для кроликов
128,128,Комбикорма полнорационные для беконного откорма свиней
129,129,Комбикорма полнорационные для свиней
130,130,Комбикорма полнорационные для сельскохозяйственной птицы
131,131,Комбикорма-концентраты гранулированные для откармливаемых лошадей
132,132,Комбикорма-концентраты гранулированные для тренируемых и спортивных лошадей
133,133,Комбикорма-концентраты для дойных кобыл
134,134,Комбикорма-концентраты для кроликов и нутрий
135,135,Комбикорма-концентраты для крупного рогатого скота
136,136,Комбикорма-концентраты для овец
137,137,Комбикорма-концентраты для рабочих лошадей
138,138,Комбикорма-концентраты для свиней
139,139,Комплектные распределительные устройства
140,140,Комплектные распределительные устройства элегазовые
141,141,Комплектные трансформаторные подстанции
142,142,Конденсаторы и конденсаторные установки
143,143,Конструкции и изделия (элементы) строительные из алюминия и алюминиевых сплавов
144,144,Корм для певчих и декоративных птиц
145,145,Корма животного происхождения (включая корма для непродуктивных животных)
146,146,Кормовая продукция консервной и овощесушильной промышленности
147,147,Кормовая продукция маслобойной и жировой промышленности (жмыхи и шроты)
148,148,Кормовая продукция сахарной и крахмало-паточной продукции
149,149,Кормовая продукция спиртовой и пивоваренной промышленности
150,150,Коробки для лекарственных средств
151,151,"Корсеты, реклинаторы, обтураторы, лифы к протезно-ортопедической продукции"
152,152,Костыли
153,153,Кровати медицинские (включая электрические)
154,154,Крупка комбикормовая
155,155,Лезвия для безопасных бритв
156,156,"Лекарственные средства, зарегистрированные в установленном порядке и внесенные в государственный реестр, состоящие из смешанных и несмешанных продуктов для использования в терапевтических или профилактических целях, расфасованные в виде дозированных лекарственных форм или в упаковки для розничной продажи"
157,157,Ленты асбестовые тормозные
158,158,Линзы для коррекции зрения
159,159,Лодки надувные гребные 
160,160,Маски резиновые для плавания под водой 
161,161,Масла смазочные (нефтяные)
162,162,Масло вазелиновое медицинское
163,163,Материалы асбестовые фрикционные эластичные
164,164,Материалы вспомогательные
165,165,Материалы и изделия полимерные прочие
166,166,Материалы и средства медицинские прочие
167,167,Материалы лакокрасочные
168,168,Материалы пломбировочные
169,169,Материалы слепочные
170,170,Материалы стоматологические
171,171,Материалы строительные нерудные
172,172,Материалы теплоизоляционные
173,173,Материалы теплоизоляционные из вспененного пенополистирола
174,174,Материалы теплоизоляционные из минеральной ваты
175,175,Материалы теплоизоляционные из пенополиизоцианурата
176,176,Материалы теплоизоляционные из пеностекла
177,177,Материалы теплоизоляционные из экструзионного пенополистирола
178,178,"Материалы хирургические, средства перевязочные"
179,179,"Материалы хирургические, средства перевязочные специальные"
180,180,"Материалы хирургические, средства перевязочные:"
181,181,"Материалы хирургические, средства перевязочные: бинты марлевые медицинские "
182,182,"Материалы хирургические, средства перевязочные: вата медицинская гигроскопичная "
183,183,"Материалы хирургические, средства перевязочные: изделия ватно-марлевые медицинские"
184,184,"Материалы хирургические, средства перевязочные: изделия медицинские эластичные фиксирующие и компрессионные "
185,185,"Материалы хирургические, средства перевязочные: марля медицинская "
186,186,"Материалы хирургические, средства перевязочные: салфетки и отрезы марлевые медицинские "
187,187,"Мебель медицинская, включая лабораторную"
188,188,Мебель специальная
189,189,"Медикаменты, химико-фармацевтическая продукция и продукция медицинского назначения"
190,190,Медицинские клеи
191,191,"Мел природный, сырье для производства вяжущих материалов. Мука известняковая и доломитовая и гипс сыромолотый"
192,192,Металлы и изделия
193,193,Метионин кормовой
194,194,Мука известняковая для производства комбикормов для сельскохозяйственных животных и птицы и для подкормки птицы
195,195,Наборы антигенов и сывороток диагностические ветеринарные прочие
196,196,Наборы медицинские
197,197,Наборы медицинских инструментов
198,198,Ножи хозяйственные и специальные
199,199,Ножницы медицинские
200,200,Обои
201,201,Оборудование дезинфекционное 
202,202,Оборудование кабинетов и палат:
203,203,Оборудование медицинское
204,204,"Оборудование санитарно-гигиеническое, средства перемещения и перевозки"
205,205,Оборудование светотехническое медицинское
206,206,Оборудование стерилизационное 
207,207,"Оборудование стоматологическое, зубопротезное и оториноларингологическое, установки стоматологические, кресла стоматологические, наконечники стоматологические"
208,208,Олифы
209,209,Ортопедические аппараты на верхние и нижние конечности
210,210,Очки корригирующие массового изготовления
211,211,Очки солнцезащитные
212,212,Пакеты перевязочные медицинские
213,213,"Патроны к гражданскому и служебному оружию, к средствам огнестрельным производственным и патроны, производимые только для экспорта в соответствии с техническими условиями, отвечающими требованиям стран-импортеров"
214,214,Переключатели и отключатели высоковольтные для подвижного состава
215,215,Перчатки медицинские диагностические одноразовые
216,216,Перчатки хирургические 
217,217,Перчатки хирургические из каучукового латекса стерильные одноразовые
218,218,Пигменты белые сухие
219,219,Пигменты кадмиевые для розничной продажи (упаковка до 1 кг)
220,220,Пластмассы стоматологические
221,221,Платки носовые бумажные
222,222,Пленки радиографические медицинские
223,223,Плиты
224,224,Плиты древесно-стружечные (кроме плит специального назначения)
225,225,Плиты фанерные
226,226,Повязки медицинские стерильные
227,227,Полотенца бумажные
228,228,Полуфабрикаты к протезно-ортопедической продукции 
229,229,Посуда алюминиевая литая (кроме посуды для детей до 3 лет)
230,230,Посуда алюминиевая штампованная
231,231,Посуда и изделия из сплавов цветных металлов
232,232,"Посуда и изделия хозяйственные металлические литые, из жести и листовой стали"
233,233,"Посуда и приборы столовые из мельхиора, нейзильбера с золотым или серебряным покрытием (кроме изделий для детей до 3 лет)"
234,234,Посуда из коррозионно-стойкой стали для взрослых
235,235,"Посуда из мельхиора, латуни, нейзильбера с хромовым или никелевым покрытием (кроме изделий для детей до 3 лет)"
236,236,Посуда из нержавеющей стали
237,237,Посуда из стекла для взрослых
238,238,"Посуда керамическая (фарфоровая, полуфарфоровая, фаянсовая, майоликовая) для взрослых"
239,239,Посуда хозяйственная из бесцветного жаростойкого стекла и посуда хозяйственная из ситаллов
240,240,Посуда хозяйственная из листового алюминия (кроме посуды для детей и подростков)
241,241,Посуда хозяйственная стальная эмалированная
242,242,Посуда хозяйственная стальная эмалированная для взрослых
243,243,Посуда хозяйственная чугунная эмалированная
244,244,"Посуда хозяйственная, термосы и колбы, изделия ламповые"
245,245,"Посуда художественная керамическая, применяемая для пищевых продуктов, стопки (стаканы) (кроме изделий для детей до 3 лет)"
246,246,Посуда чугунная черная
247,247,"Посуда, в том числе одноразового применения (кроме изделий для детей до 3 лет)"
248,248,Предметы металлической галантереи:
249,249,"Предметы сервировки стола, в том числе одноразового применения (кроме изделий для детей и подростков)"
250,250,Предохранители высоковольтные для подвижного состава железных дорог
251,251,Премиксы
252,252,Преобразователи для подвижного состава железных дорог
253,253,Препарат ферментный протосубтилин ГЗх
254,254,Препараты диагностические ветеринарные
255,255,Препараты и средства химико-фармацевтические для ветеринарии
256,256,"Приборы для измерения давления: приборы для измерения артериального давления механические, электромеханические и электронные"
257,257,"Приборы для измерения массы, силы, энергии, линейных и угловых величин, температуры электронные"
258,258,"Приборы для измерения объема и газового состава вдыхаемого и выдыхаемого воздуха и крови, капнометры, оксиметры"
259,259,"Приборы для измерения частоты, скорости, ускорения, временных интервалов и перемещения"
260,260,Приборы для исследования звуковых колебаний в органах человека
261,261,Приборы для функциональной диагностики измерительные
262,262,Приборы для функциональной диагностики измерительные:
263,263,"Приборы для функциональной диагностики, томографы"
264,264,Приборы и аппараты для диагностики (кроме измерительных). Очки
265,265,"Приборы и аппараты для лечения, инкубаторы детские"
266,266,"Приборы и аппараты для лечения, наркозные. Устройства для замещения функций органов и систем организма"
267,267,"Приборы и аппараты для электролечения высокочастотные и квантовые: аппараты для высокочастотной электрохирургии, аппараты для УВЧ, коротковолновой терапии, аппараты для электролечения квантовые, аппараты для микроволновой терапии"
268,268,"Приборы и аппараты для электролечения низкочастотные, стимуляторы нервов и мышц"
269,269,"Приборы и аппараты радиотерапевтические, рентгенотерапевтические и ультразвуковые терапевтические, дозиметры, гамма-терапевтические аппараты, симуляторы (имитаторы)"
270,270,Приборы офтальмологические
271,271,Приборы радиодиагностические
272,272,Приборы столовые и принадлежности кухонные
273,273,Приборы столовые и принадлежности кухонные из коррозионно-стойкой стали (кроме изделий для детей до 3 лет)
274,274,Приборы столовые из углеродистой стали и алюминиевых сплавов (кроме приборов столовых для детей и подростков)
275,275,Приборы эндоскопические и увеличительные
276,276,Приемники радиовещательные и магнитолы автомобильные
277,277,"Приспособления для домашней обработки продуктов. Принадлежности столовые и кухонные. Изделия гончарные, щепные, бондарные, плетеные и другие"
278,278,"Продукция белковая, концентраты фосфатидные, ядро масличное, продукты переработки масличных семян, глицерин натуральный, соапстоки"
279,279,Продукция комбикормовой промышленности
280,280,Продукция кормопроизводства прочая
281,281,Продукция косметическая
282,282,Продукция микробиологической и мукомольно-крупяной промышленности
283,283,Продукция микробиологической промышленности
284,284,Продукция мукомольно-крупяной промышленности кормовая
285,285,"Продукция мукомольно-крупяной промышленности прочая, побочная и отходы"
286,286,"Продукция фанерного производства, плиты, спички"
287,287,Прокат из коррозионно-стойкой стали для хирургических имплантатов
288,288,"Прокладки (пакеты) женские гигиенические, в том числе медицинского назначения"
289,289,"Протезы верхних и нижних конечностей, ортезы"
290,290,"Протезы кровеносных сосудов и клапанов сердца, линзы интраокулярные, электрокардиостимуляторы вживляемые"
291,291,Протезы суставов вживляемые
292,292,Пузыри резиновые для льда (кроме изделий для ухода за детьми и подростками)
293,293,"Разрядники, ограничители перенапряжений"
294,294,"Разъединители и заземлители, отделители и короткозамыкатели"
295,295,"Разъединители, короткозамыкатели, отделители, заземлители высоковольтные для локомотивов и моторвагонного подвижного состава"
296,296,Растворы строительные
297,297,Растры отсеивающие
298,298,Реакторы и реакторное оборудование для электровозов и электропоездов
299,299,"Реакторы, включая реакторы токоограничивающие бетонные"
300,300,Рентгеновские генераторы
301,301,Рентгеновские питающие устройства
302,302,Рукава напорные резинотканевые (прокладочные)
303,303,Рукава резиновые напорные с текстильным каркасом
304,304,Рыбий жир (кроме жира технического)
305,305,Салфетки разного назначения
306,306,Сифоны бытовые и баллончики к ним
307,307,Скатерти бумажные
308,308,Смеси и растворы строительные
309,309,Смеси строительные
310,310,"Составные части патронов ручного огнестрельного оружия: дробь охотничья, спортивная и картечь"
311,311,Составные части патронов ручного огнестрельного оружия: пули для пневматического оружия
312,312,Составные части патронов ручного огнестрельного оружия: пули патронов к нарезному и гладкоствольному оружию
313,313,"Составные части патронов ручного огнестрельного оружия: пыжи, пыжи контейнеры"
314,314,Спички
315,315,Средства дезинсекционные
316,316,Средства дезинсекционные против бытовых насекомых
317,317,"Средства дезинфекционные, дезинсекционные и дератизационные"
318,318,Средства дезинфицирующие
319,319,Средства дератизационные
320,320,Средства для борьбы с домашними грызунами
321,321,Средства для защиты растений садов и огородов от сельскохозяйственных вредителей и сорняков и минеральные удобрения
322,322,Средства для стирки
323,323,Средства защиты растений химические (пестициды)
324,324,Средства защиты растений химические (пестициды) 
325,325,Средства моющие
326,326,Средства моющие синтетические порошкообразные
327,327,Средства пеномоющие
328,328,"Средства перемещения и перевозки медицинские, носилки, тележки, кресла-коляски реабилитационные, ходунки, подъемники реабилитационные"
329,329,"Средства по уходу за зубами и полостью рта (флоссы, флоссодержатели, ирригаторы, стимуляторы для полости рта, ершики, зубочистки, порошки и таблетки для обработки зубных протезов, красящие таблетки для выявления зубного налета, средства для отбеливания зубов)"
330,330,Средства по уходу за контактными линзами
331,331,"Средства против бытовых насекомых, грызунов для дезинфекции и антисептики"
332,332,"Среды питательные микробиологические, основы питательные и сырье биологическое для вирусологических питательных сред, применяемых в медицине"
333,333,Статические преобразователи для устройств электроснабжения электрифицированных железных дорог
334,334,Стекло архитектурно-строительного назначения
335,335,Стеклоочистители
336,336,Стеклопакеты
337,337,"Столовые приборы, в том числе одноразового применения (кроме изделий для детей и подростков)"
338,338,Столы операционные (включая электрические)
339,339,Сыворотки прочие
340,340,"Сыворотки, антитела и прочие диагностические препараты, применяемые в медицине"
341,341,Термосы бытовые с сосудами из стекла
342,342,Тест-системы для диагностики других инфекционных заболеваний
343,343,"Тетради школьные ученические, обои и товары бумажно-беловые"
344,344,Товары бумажно-беловые
345,345,Товары бытовой химии
346,346,Товары бытовой химии в аэрозольной упаковке
347,347,Трансформаторы напряжения
348,348,Трансформаторы силовые
349,349,"Трансформаторы силовые (однофазные мощностью свыше 4 кВ А, трехфазные мощностью 6,3 кВ А и свыше)"
350,350,Трансформаторы тока
351,351,Трубки медицинские резиновые 
352,352,"Трубки медицинские, катетеры, канюли"
353,353,"Трубы круглого сечения сварные прочие, наружным диаметром более 406,4 мм, стальные, используемые для строительства, реконструкции и ремонта сетей водоснабжения и теплоснабжения"
354,354,Туалетная бумага
355,355,Туторы на верхние и нижние конечности
356,356,Удобрения минеральные
357,357,Удобрения фосфорные (фосфатные)
358,358,Узлы протезов верхних конечностей
359,359,Узлы протезов нижних конечностей
360,360,Ультрамарины для красок для розничной торговли (упаковка до 1 кг)
361,361,Устройства электрошоковые
362,362,Фанера авиационная
363,363,Фанера бакелизированная
364,364,Фанера общего назначения с наружными слоями из шпона лиственных пород
365,365,Фанера общего назначения с наружными слоями из шпона хвойных пород
366,366,Фотопленки
367,367,Шины пневматические для велосипедов 
368,368,"Шпалы деревянные для железных дорог широкой колеи, пропитанные защитными средствами"
369,369,Шприцы медицинские многократного и однократного применения
370,370,Щебень для балластного слоя железных дорог из природного камня
371,371,Щетки зубные для взрослых
372,372,Щитки защитные лицевые
373,373,Экраны: экраны рентгеновские
374,374,Электрическая энергия в электрических сетях общего назначения переменного трехфазного и однофазного тока частотой 50 Гц
375,375,"Электрические одеяла, подушки и матрацы"
376,376,Электроды для съема биоэлектрических потенциалов
377,377,Электрокардиографы 
378,378,Электрокардиостимуляторы наружные
379,379,Электрооборудование пассажирских вагонов
380,380,Электроэнцефалографы
381,381,Элементы и батареи гальванические
382,382,Элементы и батареи первичные
383,383,Эмали
384,384,бинты гипсовые медицинские
